match_id,date,match_date,tournament,city,country,level,round,best_of_5,surface,indoor,player_a_id,player_b_id,winner_id,duration_minutes
2015-520_20150524_61.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,F324,F444,F324,110.0
2015-520_20150524_62.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,K834,L575,L575,182.0
2015-520_20150524_63.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,A678,SF62,A678,113.0
2015-520_20150524_64.0,2015-05-24,2015-05-24,Roland Garros,Roland Garros,,G,R128,1,clay,0,D875,SM25,SM25,115.0
2015-520_20150524_65.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,D643,MA30,D643,106.0
2015-520_20150524_66.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,KD46,TA46,KD46,202.0
2015-520_20150524_67.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,B884,G628,G628,202.0
2015-520_20150524_68.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,A678,L575,A678,167.0
2015-520_20150524_69.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,CD85,SM25,SM25,207.0
2015-520_20150524_70.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,CG80,R419,CG80,227.0
2015-520_20150524_71.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,KB54,M762,KB54,166.0
2015-520_20150524_72.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,A479,N409,N409,139.0
2015-520_20150524_73.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,MC10,SH90,MC10,150.0
2015-520_20150524_74.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,E831,KE17,KE17,
2015-520_20150524_75.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,G725,GB88,GB88,155.0
2015-520_20150524_76.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,CA12,I186,CA12,143.0
2015-520_20150524_77.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,A622,C977,C977,99.0
2015-520_20150524_78.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,J397,MD56,MD56,158.0
2015-520_20150524_79.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,BA98,T840,BA98,117.0
2015-520_20150524_80.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,F401,G676,F401,91.0
2015-520_20150524_81.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,BD20,N552,N552,142.0
2015-520_20150524_82.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,B896,V306,B896,193.0
2015-520_20150524_83.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,BD06,R685,R685,80.0
2015-520_20150524_84.0,2015-05-24,2015-05-25,Roland Garros,Roland Garros,,G,R64,1,clay,0,G681,MA21,G681,105.0
